"i_codtiporg","v_destiporg","created_at","i_usureg","updated_at","i_usumod","i_estreg","v_abrev"
"1","MINISTERIO","2014-01-01 00:00:00","1","2022-08-09 16:38:27","9","1","M"
"2","GOBIERNO REGIONAL","2014-01-01 00:00:00","1",NULL,NULL,"1","GR"
"3","MUNICIPALIDAD PROVINCIAL","2014-01-01 00:00:00","1",NULL,NULL,"1","MP"
"4","MUNICIPALIDAD DISTRITAL","2014-01-01 00:00:00","1","2020-08-12 00:55:08","9","1","MD"
"5","ORGANISMOS PUBLICOS","2014-01-01 00:00:00","1",NULL,NULL,"1","OP"
"6","ORANISMO INTERNACIONAL","2019-01-01 00:00:00","1","2019-07-09 15:08:53","1","1","OI"
"7","ORGANISMO PÚBLICO EJECUTOR","2019-07-02 20:41:47","0","2019-07-02 21:41:31","1","0","OP-EJE"
"8","ORGANISMO PÚBLICO REGULADOR","2019-07-02 20:42:16","0","2019-07-02 21:31:01","1","0","OP-REG"
"9","ORGANISMO PÚBLICO CONSTITUCIONALMENTE AUTONOMO","2019-07-02 21:14:49","0","2019-07-02 21:16:31","1","0","OP-CAU"
"10","ORGANISMO PÚBLICO TECNICO ESPECIALIZADO","2019-07-02 21:18:05","0","2021-06-17 17:01:48","9","0","OP-TEC"
"11","UNIVERSIDAD PÚBLICA","2019-07-02 21:18:28","0","2020-08-25 23:42:35","9","0","UN-PUB"
"12","UNIVERSIDAD LICENCIA DENEGADA","2020-10-16 00:00:00","1","2020-10-16 00:00:00","1","1","UN-LDE"
"13","ORGANISMO CONSTITUCIONALMENTE AUTONOMO","0000-00-00 00:00:00","1",NULL,NULL,"1","O-CAU"
"14","PRIVADO","0000-00-00 00:00:00","1",NULL,NULL,"1","PRI"
"15","ORGANISMO PUBLICO TECNICO CIENTIFICO","0000-00-00 00:00:00","1",NULL,NULL,"1","OP-TCI"
"16","UNIVERSIDAD PRIVADA","0000-00-00 00:00:00","1",NULL,NULL,"1","UN-PRI"
"17","EMPRESA PRESTADORA DE SERVICIO","0000-00-00 00:00:00","1",NULL,NULL,"1","EPS"
